ID,CatalogCoverage - Top 5 | Test Ratings,CatalogCoverage - Top 10 | Test Ratings,CatalogCoverage - Top 10 | All Items,CatalogCoverage - Top 20 | All Items
Centroid Vector + Doc2Vec,-15.0,-7.0,-20.0,-12.0
Centroid Vector + SK-TFIDF,,,25.0,28.0
Centroid Vector + Word2Vec,-13.0,-6.0,-20.0,-14.0
Logistic Regression + Doc2Vec,,,-72.0,-56.0
Logistic Regression + SK-TFIDF,,,52.0,40.0
Logistic Regression + Word2Vec,6.0,,-67.0,-47.0
Random Forest + Doc2Vec,,,,
Random Forest + SK-TFIDF,,,55.0,40.0
Random Forest + Word2Vec,,,49.0,39.0
SVC + SK-TFIDF,,,53.0,41.0
SVC + Word2Vec,5.0,,43.0,39.0
