ID,DeltaGap - Top 5 | Blockbuster | Test Ratings,DeltaGap - Top 5 | Niche | Test Ratings,DeltaGap - Top 5 | Diverse | Test Ratings,DeltaGap - Top 10 | Blockbuster | Test Ratings,DeltaGap - Top 10 | Niche | Test Ratings,DeltaGap - Top 10 | Diverse | Test Ratings,DeltaGap - Top 10 | Blockbuster | All Items,DeltaGap - Top 10 | Niche | All Items,DeltaGap - Top 10 | Diverse | All Items,DeltaGap - Top 20 | Blockbuster | All Items,DeltaGap - Top 20 | Niche | All Items,DeltaGap - Top 20 | Diverse | All Items
Centroid Vector + Doc2Vec,0.16341,0.17598,0.01672,0.07195,0.06397,0.04688,-0.86039,-0.94134,-0.94271,-0.81289,-0.85357,-0.90174
Centroid Vector + GensimRandomIndexing,0.07174,0.04959,-0.09577,0.0193,0.0239,-0.03819,-0.58214,-0.66973,-0.77103,-0.62574,-0.68454,-0.74566
Centroid Vector + Word2Vec,0.18222,0.13929,0.01029,0.04794,0.08247,0.03672,-0.96929,-0.97737,-0.97662,-0.94943,-0.97008,-0.96965
Logistic Regression + Doc2Vec,0.10181,0.04536,-0.09925,0.03212,0.03183,-0.02776,-0.77312,-0.89762,-0.89199,-0.65341,-0.68621,-0.87238
Logistic Regression + GensimRandomIndexing,0.08267,0.07872,-0.05559,0.03184,0.02544,-0.01211,-0.79016,-0.89413,-0.94953,-0.7595,-0.84143,-0.91182
Random Forest + Doc2Vec,0.11454,0.07351,-0.04984,0.02972,0.02835,-0.00746,-0.53438,-0.66792,-0.78855,-0.5997,-0.67141,-0.77042
Random Forest + GensimRandomIndexing,0.0784,0.04634,-0.08821,0.02859,0.02491,-0.02821,-0.61916,-0.7371,-0.86999,-0.65821,-0.73784,-0.8429
SVC + Doc2Vec,0.06725,0.02135,-0.10266,0.01631,0.01737,-0.04203,-0.5897,-0.75245,-0.87061,-0.62051,-0.69242,-0.7984
SVC + GensimRandomIndexing,0.08455,0.05958,-0.08719,0.02873,0.03037,-0.02787,-0.56854,-0.68377,-0.82801,-0.62407,-0.70432,-0.81557
