ID,Gini - Top 5 | Test Ratings,Gini - Top 10 | Test Ratings,Gini - Top 10 | All Items,Gini - Top 20 | All Items
Centroid Vector + GensimRandomIndexing,0.57293,0.58137,0.72972,0.71504
Centroid Vector + SK-TFIDF,0.56168,0.57457,0.72595,0.72358
Centroid Vector + Sentence2Doc-Sbert,0.57849,0.58283,0.76063,0.76469
Logistic Regression + GensimRandomIndexing,0.55228,0.57428,0.5342,0.51193
Logistic Regression + SK-TFIDF,0.54216,0.56701,0.45668,0.42483
Logistic Regression + Sentence2Doc-Sbert,0.5444,0.56891,0.54411,0.51648
Random Forest + GensimRandomIndexing,0.55564,0.57844,0.65522,0.62304
Random Forest + SK-TFIDF,0.55022,0.56542,0.61001,0.57835
Random Forest + Sentence2Doc-Sbert,0.54701,0.56965,0.65833,0.62721
SVC + GensimRandomIndexing,0.54352,0.57265,0.38752,0.34809
SVC + SK-TFIDF,0.53905,0.5632,0.41981,0.38248
SVC + Sentence2Doc-Sbert,0.53069,0.56116,0.41076,0.36794
